section,lesson,lesson_description,word,is_sight_word,phonetic_symbol,letter_combination,source
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",his,F,/z/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",as,F,/z/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",has,F,/z/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",a,T,/ā/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",hat,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",red,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",big,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",Dad,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",Jim,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",wig,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",can,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",fit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",yes,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",pig,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",pen,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",the,T,/ē/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",van,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",bit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",man,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",tan,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",hit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",mad,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",sat,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",had,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",jam,F,/ă/,,OPG_Revised_Instructor.pdf
3,36,"Words with the Short-I Vowel Sound; S Sounds Like /z/: is, his, as, has; Sight Word: a",nap,F,/ă/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,ox,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,box,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,fox,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,on,F,/ŏ/,,OPG_Revised_Instructor.pdf
3,37,Words with the Short-O Vowel Sound,Don,F,/ŏ/,,OPG_Revised_Instructor.pdf
